Text,Humor
হ্যাঁ ভাই দৌড়াচ্ছি কারন আব্বু পড়তে বসতে বলছে আর ভুলে বলে ফেলেছি “পড়ালেখার মারে***,0
"রাস্তার একটা কাগজ উঠিয়ে ফেলে দেওয়ার জন্যে ধন্যবাদ দিতে থাকা মেয়র
এইদিকে কাগজ কে টাকা মনে করা আমি",1
"১৪ ঘন্টা অফিস করার জন্যে বাহবা দেয়া বস ,বাসায় এসি নেই বলে অফিসে থেকে যাওয়া কর্মী",1
"তুই প্রতিবেশী, প্রতিবেশীর মত থাকবি অন্যের লাইফে তোর নাক গলাবি কেন?",0
আগের যুগের নারীবাদী এ যুগের নারীবাদী,0
বাপের কাপড় খুলে যায় ছেলেকে বড় করতে আর ছেলের কাপড় খুলে যায় মিচেলের ক্যাচ ধরতে,1
আমার ছেলে মানকি সারাদিনে একবারো পড়তে বসে না কিন্তু স্বপ্ন দেশের বাইরে পড়তে যাওয়া,1
"আমার ছেলে মানকি ঘরের খায়, ঘরের পড়ে আর ভার্সিটির ক্লাবকে বলে ফ্যামিলি",1
"আব্বুর জায়গা মেরে কোন ভাই কি পরিমাণ, ভাগ নিবে তা নিয়ে চাচাদের মাঝে গুরুত্বপূর্ণ আলোচনা",1
"ওই মিমি, আমি একটু নির্বাচনের কাজে বিজি, তুই অলরাউন্ডার হিসেবে কয়েকটা উইকেট তুলে দিস তো
ওকে ভাই, ঠিক আছে, কাজ হয়ে যাবে, নো প্রবলেম",0
নামিয়ে দিলাম রূপের পর্দা ক্রাশ খাবে সকল মদ্দা,0
"বোরকা পরে বউ খুঁজছিল যুবক,চোর ভেবে পুলিশে দিলো এলাকাবাসী",0
কাকু তোমার চুইংগামের প্যাকেট পড়ে গেছে।,0
পিনাস কাট টাকা পাবি,1
"আমি ডাক্তার হব ..চ্যাডের বাল হবা, আমরা এখন মুখের ভিতর",1
দাদা ছিল চোর! বাবা ছিল ডাকাত! ভক্তদের আছে চাপা! দলের নাম আফা,0
"আমার টাকার গরমও নাই, রূপের আগুনও নাই শীত তো লাগবেই",0
তোমার প্রবলেম টা কি? আমারে ভালোবাসোনা কেন!,0
বুঝোনা কেন ?তোমাকে শুধু আমার সাথেই মানাবে!,0
আমাদের মেয়ে তো মাশাল্লাহ হিজাব পড়ে ,0
আপনি যাকে আপনার গল্পের নায়িকা ভাবছেন সে আপনাকে তার গল্পের পার্শ্বচরিত্রও ভাবছে না,0
"সোনা আমি তোমার মন চাই, দেহ না....কেনো তোমার পাখি কি দাঁড়ায় না।",1
"আমি নারী ..,তুমি একটা ফ্রক পড়া বেডা",0
"জ্বি স্যার, বুঝছি! বলায় আমাকে ভালো ছাত্র মনে করা স্যার কোন বই, কোন অধ্যায় কিছুই না জানা আমি",0
"আবার নির্বাচিত হলে বাংলাদেশের ২০২৬ বিশ্বকাপে খেলার আশ্বাস দেওয়ায় সালাউদ্দিন কে ধন্যবাদ দিতে
থাকা ক্রিড়া মন্ত্রী* এদিকে পুনরায় নির্বাচিত হলে বরাদ্দের সব টাকা মেরে খাওয়ার প্লেন করা সালাউদ্দিন",1
আইডির নাম ছিলো কাজি আসিফ আর আমি বার বার পরছি কাজি অফিস,0
"ব্যাচের সকলে ভালো থাকবে নাকি খারাপ থাকবে, তা নির্ভর করবে ব্যাচ সি.আরের বুদ্ধির উপর। 
আমরা ভালো নেই",1
"দুই পক্ষের কাহিনী শোনার পর বুঝলাম দোষ আসলে আমার, যে আমি ওদের কাহিনী শুনতেছি।",0
"সন্তানকে আভিজাত্য শিখান যাতে রুচিবোধ গ্রোও করে সন্তানকে দারিদ্র্যের শিক্ষা দিন যাতে অহংকারী না হয়
সন্তান নিয়েন না, আভিজাত্যে সুখে জীবন কাটান",1
আমাদের দাদাদের ছিলো অনেক বাবাদের ছিলো অল্প আর আমাদের কাছে আছে সা'উয়া ভরা গল্প,0
"আগে বললি না কেন, তুই ফকির?
হাজারবার বলেছি, দুনিয়ায় তুমি ছাড়া আমার আর কিছুই নেই। তখন শুনে তো বেশ খিলখিলিয়ে হাসতে!",1
এত শব্দে একদম পড়তে পারতেছি না যাই ইন্ডিয়া বনাম অস্ট্রেলিয়ার খেলার মাঠে গিয়ে পড়তে বসি,1
স্যার আমি পিএইচডি .. কোন সাবজেক্টে? পিএইচডি মানে পিজা হোম ডেলিভারি..,1
"কি সোনামনিরা ইংরেজিতে A+ পাও নাই? কেমনে পাবা, আরও ট্রল করো শিক্ষক দের নিয়ে",1
"আগে স্কুলের জানালা দিয়ে রাস্তা দেখতাম, এখন রাস্তা দিয়ে স্কুলের বারান্দা দেখি!",0
"কবে বিয়ে করবে' বারবার জিজ্ঞেস করায় প্রতিবেশীকে খুন!",0
"১ পেয়েও ফেইল*,৩২ পেয়েও ফেইল*",1
বিবাহিতদের এড়িয়ে চলুন। এরা আপনাকে বিয়ের জন্য উসকা'নি দিতে পারে,0
বেশি বয়সে বিয়ে করেন সিলেটের ছেলেমেয়েরা কারণ লন্ডনের ভিসা পাইতে পাইতেই জীবন অর্ধেক চলে যাচ্ছে,0
"শীতের খবর প্রথম পৌঁছে পুরুষের কানে, বাকী খবর নারিকেল তেলে জানে ।",1
"আমরা ব্যাটিং করলে বোলিং পিচ হয়ে যায় আর আমরা বোলিং করলে ব্যাটিং পিচ হয়ে যায়।
 কেমনে ভাই কেমনে!!",1
আমার জীবন-ডা কুমিল্লা বোর্ডের প্রশ্ন-পত্রের মতো,1
"মেয়েরা গরুর ভুঁড়ি খেতে ঠিকই পছন্দ করে, কিন্তু ভুঁড়িওয়ালা ছেলেদের পছন্দ করে না, কেনো?",0
"কলেজের সামনে এক বাদামওয়ালা আমাকে জিজ্ঞেস করলাম, মামা আপনি তো আশেপাশেই থাকেন এই 
কলেজটা কেমন? মামা: অনেক ভালো, আমিও এখান থেকেই ইন্টার শেষ করেছি!",1
কিছু টাকা-পয়সা হইলে কিছু আত্মীয় স্বজনকে টাইটানিক দেখতে পাঠাবো,1
"কোন ছেলে যদি তোমাকে পছন্দ করে তো নিজেকে সুন্দরী ভাবার কোনো দরকার নেই ছেলেদের সব
 মেয়েকেই সুন্দর লাগে!!",1
"রাত ৮টায় পড়তে বসার কথা ছিল কিন্তু এখন ৮টা ২ বেজে যাওয়ায়
ভাবছি রাত ৯ টায় পড়তে বসবো",0
আমি ওরে জিগাইলাম তুমি কি চাও? অয় মেসিরে বার্সেলোনাতে ফেরত চাইলো কিন্তু আমারে চাইলো না!,0
আমি বন্ধুর জন্য আধ ঘন্টা অপেক্ষা করছি কারণ বন্ধু বলছিলো ৫ মিনিট মধ্যে আসতেছি,0
"বি.সি.এস ক্যাডার ছেলে জদি তোমাকে বিয়ে করতে চায় তখন আমাকে ভুলে যাবে?
- অসম্ভব! সরকারি কোয়ার্টারে বসেও তোমাকে অনেক মিস করবো।",1
"মনে রাখবেন, আপনার রাতের পড়ার শব্দ যদি অন্য কারও বাসায় ঝাড়ুর বাড়ির কারণ না হয়
 তাহলে আপনি ভালোভাবে পড়ালেখা করছেন নাহ - মা গবেষনা কেন্দ্র",1
"মিলন একটা অশ্লীল শব্দ। এটা কিভাবে কারো নাম হতে পারে, আমার মাথায় আসেনা",1
"ফুফু দেখা হইলে-ই বলতেছে বিয়ে করে নিতে পছন্দের কেউ থাকলে বলতে তিনি আমার মা বাপের সাথে কথা
বললো, কিন্তু তার মেয়ের সাথেই প্রেম করতেছি এটা তারে কিভাবে বলি",0
"সরকার মেয়েদের পড়াশোনার বিষয়ে বেশি গুরুত্ব দেয়, কারণ সরকারও জানে যে মেয়েরা
 স্কুলে গিয়ে থাকলে ছেলেরা অবশ্যই অনুসরণ করবে।",0
"ওয়াটসঅ্যাপের নতুন আপডেট দেখে এতো টেনশন নিয়ে থাকা না,কারণ তোমারে এমনেও কেউ টেক্সট দেয় না",1
"গুচ্ছ চান্স পেয়ে আমার সাথে ব্রেকআপ করা আমার গার্লফ্রেন্ড, এদিকে মেডিকেলে চান্স পেয়েও
 সারপ্রাইজ দিবো বলে এতদিন না জানানো আমি!!",0
"জামাই : আজকে আমি খুব অসুস্থ হয়ে হাসপাতালে শুয়ে আছি 
বউ : ভুলেও নার্সের দিকে তাকাবি না না হলে চোখের হাসপাতালে ও যেতে হবে",1
কারেন্ট হলো বেডি মানুষের মত। মনে হয় আর যাবে নাহ কিন্তু ঠিকই চলে যায়!,1
"১টা এসির বিনিময়ে আমি আমার পিএসসি ও জেএসসির সার্টিফিকেট বিক্রি করতে চাই!",0
"ঢাকা বিশ্ববিদ্যালয় ভালো হলে নাকি বুয়েট...? ফুচকা বিক্রি করার জন্য",1
তোমার বোন তো জ্বীন দ্বারা পজেজড; তাকে সুস্থ করা সম্ভব বদলে একটু আমার সাথে..,0
কাল শুক্রবার সব পড়া শেষ করতে হবে আলহামদুলিল্লাহ পবিত্র বৃহস্পতিবার আজ; আগামীকাল সারাদিন ঘুম,0
মশার চো*নে ঘুমাতে পারছি না,0
"ভার্সিটিতে উঠে ঠিকমতো পড়ালেখা করিস ভাই
জিপিএ- ৫.০০ পাইছো দেখে সিজিপিএ ৪.০০ পাবা এই ধারণা করার ভুল করো না",0
জুমআর নামাজ পড়তে যেয়ে নতুন জুতা হারিয়ে ফেলেছি,0
"চিন্তা করার চেষ্টা করছি। শেষ কবে কলম কিনেছিলাম",0
আমি নিজেরে জিগাইলাম। আমি কি চাই কোনো উত্তর পাইলাম না,0
"খারাপ তো তখন লাগে যখন ভার্সিটির পাশে ঝালমুড়ি খেতে যেয়ে দেখি আমার পরীক্ষার খাতা",0
ঘুমাতে যাচ্ছি ১৮ তারিখ ডেকে দিও যদি দেখো আর্জেন্টিনা বিশ্বকাপ জিতে গেছে দাফন করে দিও,1
"এইচএসসি পরীক্ষার্থীদের অবস্থা: গা ছমছম কি হয় কি হয়, কখনও মজার কখনও বা ভয়",1
টানা দশ মিনিট স্বামীর মুখের উপর বসে থাকার পর যখন মনে পরে সে একজন শ্বাসকষ্টের রোগী,1
ভালো চাকরি পাওয়ার পর আমাকে বিয়ে করতে পারবেনা বলা আমার বফ.! এরপর তার অফিসের বস কে বিয়ে করে ফেলা আমি,0
পাশের বাসার আন্টি যখন রাস্তায় কোন মেয়ে ফ্রেন্ডের সাথে কথা বলতে দেখে,0
"নায়কের মতো ছেলের সাথে প্রেম করবা,
আর সে অভিনয় করলেই দোষ..",0
"নিজের চোখের ছবি স্টোরি দিয়ে মিউজিক এড করে
""ডুবেছি আমি তোমার চোখের অনন্ত মায়ায়!""",0
"দোস্ত, চল বাজারে যাই
না তুই বেচে দিবি আমারে",0
"চলতে চলতে গুনাহ করে যেই গাড়ি
- লেগুনা",1
"আমার বাংলাদেশি ভাইয়েরা, তারপর বলো...
রান্নাতে পিঁয়াজ দিচ্ছো তো? নাকি পিঁয়াজ ছাড়াই রান্না হচ্ছে?
এই দেখো, আমার কাছে ৫টা পিঁয়াজ আছে। কেউ কিনতে চাইলে বলো, বিক্রি করবো। আমাদের এখানে সস্তা পিঁয়াজ ভাই।",0
এক সপ্তাহ আগে কন্যা সন্তান হওয়ায়! ৬ বছর পর খুশিতে বিদেশ থেকে বাড়িতে আসছে..!,0
"মাঝি পেঁয়াজ আনছো? পেঁয়াজ, কাঁচা-মরিচ দিয়া পান্তা খামু।না কপিলা ঐগুলা বড়লোকের খাবার। আমরা তো কাচ্চি খামু।",1
আমার স্ত্রীকে বললাম সে যেন তার ভুলগুলোকে আপন করতে শিখে আর সে এসে আমাকে জড়িয়ে ধরল,1
কখনো ভেবে দেখেছো সমান্তরাল লাইনগুলো নিজেদের মধ্যে সাদৃশ্যতা কখনোই একসাথে বসে আলাপ করতে পারবেনা,1
সি ফুড ডায়েট করতেছি আমি কারণ আই সি ফুড তারপর বাকিটা ইতিহাস,1
সাঁতার করতে পারো যদি এতই স্বাস্থ্যের জন্য ভালো হয় তাহলে আমাকে তিমির সাইজ টা একটু ব্যাখ্যা দাও,1
মনটা মশারির মত হয়ে গেছে কোন দিক দিয়ে গুছানো শুরু করলে যে দেখতে ভালো লাগবে তা আর বুঝতে পারতেছি না,1
"অতীত বর্তমান ভবিষ্যৎ একসাথে জেলে ঢুকে চিন্তিত  হয়ে গেছে
কিন্তু কেন ??  কারণ ওরা টেন্স",1
যে বয়সে সফলতার সিঁড়িতে ওঠার কথা ওই বয়সে এখনো পরীক্ষার কেন্দ্রের সিঁড়িতে উঠতে উঠতে ক্লান্ত,0
মেসে খালা নাই মিল বন্ধ  মাথা ! নষ্ট লাগা খিচুড়ি,0
ছোট থাকতে বড়দের বিয়ে দেখতাম এখন বড় হয়ে ছোটদের দিয়ে দেখি কি একটা বাস্তবতা,0
কম্পিউটার সাইন্সের এত কোডিং প্যাটার্ন মনে রাখার চেয়ে বিয়ে করে বউয়ের বাধ্য আদর্শ স্বামী সাজা সোজা,1
কোন সুস্থ মস্তিষ্কের মানুষ ডিসেম্বরের এই ঠান্ডার মধ্যে পড়তে বসতে পারেনা,0
বহুদিন খোঁজ নেয়া নেওয়া বন্ধু-বান্ধবী হঠাৎ করে মেসেজ দিলে বুঝে নিবেন তারা কোন অনলাইন বিজনেস না হলে ইউটিউব চ্যানেল খুলেছে,1
এতদিন বিয়ে আটকানোর জন্য পড়াশোনা করেছে এখন মনে হয় পড়াশোনা আটকানোর জন্য বিয়ে করতে হবে,0
১২ বছরের স্কুল দুই বছরের কলেজ চার বছরের বিশ্ববিদ্যালয় জন্ম থেকেই পড়ছি শুধুমাত্র একটি সুন্দর স্ত্রীর জন্য,0
কিছু মানুষ আছে তারা যতটা আগ্রহ নিয়ে কোথায় পড়ো জিজ্ঞেস করে উত্তর ন্যাশনাল ইউনিভার্সিটি শুনলে ততটাই অনাগ্রহ মুখে ভর করে,0
ডুবে যাচ্ছি কারণ ডিপ লার্নিং শিখতে গেছিলাম,1
অনার্সের স্টুডেন্টরা সারাদিন যতই পড়াশোনা নিয়ে টেনশন করুক সেটা নিয়ে সিরিয়াস হবে পরীক্ষার আগের রাতেই,0
ভার্সিটি লেভেলে উঠে একটা বিষয় খেয়াল করলাম নেশা না করলে দৃঢ় ও টেকসই বন্ধুত্ব পাওয়া যায় না,0
বউয়ের গলায় মালা পোড়ানোর বয়সে খাতা লুজ শিটে সুতা দিয়ে বাঁধতে  হয় আর কত ভাই,0
"অনার্স পরীক্ষায় খাতায় ইমোজি দেয়ার সিস্টেম চালু করা হোক এতে আমাদের মতামত প্রযুক্তি বোঝানো সহজ হবে
",0
প্রেম হল ফুটপাতে বসা চটপটির মত খাইলেও পস্তাবে না খাইলেও পস্তাবে,1
"জীবনসঙ্গীকে হতে হবে সুস্থ মস্তিষ্কের কারণ পাগল তো আমি নিজেই
",0
তোমার হিসাববিজ্ঞানে পড়ে কি বা লাভ দিনশেষে যদি আমার মনের হিসাবটাই না বুঝতে পারো,1
"আমাকে না বলুন এতে আমার উৎসাহ বাড়ে
",0
বেকার যুবকরা হচ্ছে আত্মীয়-স্বজনদের কুরিয়ার সার্ভিস!,0
"কাজ এমনভাবে করুন, আপনার সাথে যেন আপনার বসেরও চাকরি চলে যায়!",1
"নির্বাচনের দিন ঘনিয়ে আসা বিদ্যমান নির্বাচনে দাঁড়ানো প্রার্থীর ডান কাঁধের ফেরেশতা,হাসিখুশির দিন শ্যাষ, এখন খালি নাকের পানি আর চোক্ষের পানি!",0
শুধুমাত্র শীতের মানইজ্জতের কথা ভেবে জ্যাকেট পরতেছি!,0
As if নামের একটা আইডি থেকে ফ্রেন্ড রিকোয়েস্ট এসেছে ভাবছি এটা আবার কেমন নাম? কিছুক্ষণ ভাবার পর বুঝলাম তার নাম আসলে Asif মাঝখানের স্পেসটা খুব সম্ভবত তার আর আমার জেনারেশন গ্যাপ,1
বামপন্থী বন্ধুকে যখন 'ডান'কি দেখতে যাওয়ার কথা বলি,0
খবর:বছরের দীর্ঘতম রাতটি হতে যাচ্ছে আজ meanwhile হর্নি পুরুষের স্ত্রী আইজ আমার খবর আছে!,1
"বাইক, ফ্রিজ, টিভি যারা এখনও পাননি; তারা হতাশ হবেন না। ইভ্যালির রাসেল ছাড়া পেয়েছে, মাল পাবেন।",0
"আজকে পেঁয়াজের যা দাম, বাংলাদেশের এমপি-মন্ত্রীদের হলফনামায়ও এত টাকা নাই!",0
"মানুষ হয়েও বিপদে আছি, চারপাশে শুধু ফেরেস্তা আর ফেরেস্তা ...",1
হোটেলে পেট ভরে খাওয়া-দাওয়া শেষ করে এক বন্ধু উঠে গিয়ে তার চামচটা ধুয়ে নিয়ে এলো...: তুই আবার চামচ ধুতে গেলি কেন।সেজন্য তো হোটেলে লোকই আছে। : সে আমি খুব ভালো জানি। কিন্তু ধুয়ে না নিলে আমার পকেটটা যে ময়লা হয়ে যাবে।,1
"ভাগ্যিস, অ্যানিম্যাল সিনেমায় রণবীরের জায়গায় জায়েদ খান ছিলো না। তৃপ্তি দিমরি তো তাকে বিয়ে না করে ছাড়তই না।",0
দূষিত বাতাসের তালিকায় আজ সকালে তৃতীয় ঢাকা মেয়ররা ইলেকশনের কাজে ব্যস্ত আছেন দেখে তৃতীয় হয়েছি। ইলেকশন শেষে ঠিকঠাক সময় দিতে পারলে ইনশাআল্লাহ ফার্স্ট হব।,1
নিজের বাচ্চা জিপিএ-৫ পাওয়ার চাইতে প্রতিবেশির বাচ্চা ফেল করার আনন্দ বহুগুণ বেশি!,0
"মুরাদ তুই খেলতে থাক এগিয়ে যাক মাহির ট্রাক",0
"ভূত টুথ বলে কিছু নাই এই কথাটা আমি দিনে বিশ্বাস করি কিন্তু রাতে না",1
"হাসাইলি রে সকিনার ভাতার",0
"বউ ও নাই গোসলের চিন্তাও নাই",1
"চিনি কম দুধ বেশি আমি তোমায় ভালোবাসি",0
"তুই একলাই যদি ২৩ টা স্টোরি দেছ বাকিদের টা দেখব কখন",0
যার রাতে বউ নাই তার কোলবালিশ আছে,0
"ডিমের ভিতরের অংশের নাম কুসুম হলে বাইরের অংশের কি নাম",1
ভাইয়া শুনুন ..কবে গেল? কে‌ ?  আমার বাবা তোমার বাসায়,1
বাচ্চাকাল ও শেষ বিএনপি ও শেষ,1
মহিলা টয়লেটে দাঁড়িয়ে প্রস্রাব করিবেন না,1
শখের বেটির ভাব বাড়ছে নতুন বেডি আনতে হবে লাগা ফোন,0
শখের ব্যাটা গুলা সুদানীর ফুয়া হয় কেন ?,0
মার্কা যদি হয় তোমার ওই ঠোঁট আমি একাই দিব ১৮ কোটি ভোট,0
নতুন বছর আসতেছে যদি কাউকে কষ্ট দিয়ে থাকি তাহলে আপনি ওটা ডিজার্ভ করতেন মাফ আশা কইরেন না মারা খান,0
পুরুষ আটকায় সিনিয়ার আপুতে,0
পুরা দুনিয়া ভাবে আমি প্রেম করি কিন্তু আমারে চান্দেও চিনে না সূর্যেও চিনে না,0
"হে জ্ঞানী, হাগিয়া ঢালিও পানি",0
তুই পড়াশোনা করছ না কেনো..?পরপুরুষের লেখা বই পড়তে আমার শরম করে ;,1
"আমাকে সিঙ্গেল রেখে ""তোরা কখনো সুখি হবি না!",1
"হিসু আটকিয়ে ম্যাসেজ এর রিপ্লাই দিতাম' বিয়েতো হলোই না, উল্টো কিডনিতে পাথর হয়ে গেলো কপাল!",0
ফেসবুকে ঘুরতে থাকা বিদ্যমান *দারাজঃতোর জাইঙ্গা লাগব?,0
"দোয়া করি ভাই তুই অনেক দূর এগিয়ে যা"" কিন্তু আর কখনো ফিরে আসিস না!",1
গো*পনে আমরা সবাই নাপিত,1
তুমি কী অধ্যাপক? না কিন্তু কেন? তাহলে অর্ধেক পকপক করেই ছেড়ে দাও কেন?,1
শখের নারী নাইলে হাত মারি,0
"বাংলাদেশে জেলা ২ টা ।!একটা হলো ঢাকা ,আথ একটা গ্রাম",1
কৃষকের বন্ধু:কৃষক আল হাসান,1
মোটিভেশন আর মাস্টারবেশন দুটোই এক!! এতে সাময়িক উত্তেজনা তৈরী হলেও ফলাফল শূন্য,1
"সম্পর্ক, এফোর্ট, প্রায়োরিটি - ভিক্ষা চাওয়ার জিনিস না",0
একটা বোরখা পরা মেয়ে পাগল করেছে.. ডিক ডিক ডিক্কি ডিক্কি ঢিস,0
"আমার নামে একটা বদনাম করেন, বছরের শেষটা কলঙ্ক নিয়ে শেষ করতে চাই!",0
নোয়াখাইল্লাদের রান্নাঘরে যাইতে মন চায় কেন কারণ ওরা প রে ফ বলে,1
আমরা মানুষ হিসেবে পরিচিতি লাভ করব কিভাবে?ট্রাফিক লাইটের ছবি চিহ্নিত করে,1
"গণিত বইয়ের কেন এত দুঃখ ? কারণ এখানে অনেক বেশি সমস্যা",1
দশ কেন ভয় পায় ? কারণ ও ৯/১১‌ এর মাঝখানে থাকে,1
"কোন পাখি উড়তে পারে না?মরা পাখি",1
আমার গার্লফ্রেন্ডের বিড়ালে এলার্জি বলল আমারে বিড়ালটা ফালাইয়া দিতে কিন্তু মাঝেমধ্যে এখন আমি আমার গার্লফ্রেন্ডের মিস করি,1
